condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq5,29,50,1520.404296875,1479.593994140625,1528.7430419921875,1536.19970703125,49.1490478515625
amp100_freq5,30,50,1544.2613525390625,1504.6185302734375,1552.5201416015625,1559.0849609375,47.901611328125
amp100_freq5,31,50,1516.739013671875,1481.4337158203125,1524.8187255859375,1527.7391357421875,43.385009765625
amp100_freq5,32,50,1797.26318359375,1767.7200927734375,1806.9901123046875,1797.5709228515625,39.27001953125
amp100_freq5,33,50,1841.306396484375,1820.0338134765625,1850.4482421875,1835.154296875,30.4144287109375
amp100_freq5,34,50,1785.845947265625,1772.706787109375,1794.595703125,1772.7342529296875,21.888916015625
amp100_freq5,35,50,1705.8453369140625,1697.576904296875,1714.2686767578125,1688.8189697265625,16.6917724609375
amp100_freq5,36,50,1627.4332275390625,1620.0599365234375,1636.6793212890625,1607.10595703125,16.619384765625
amp100_freq5,37,50,1566.03125,1557.399169921875,1576.2178955078125,1544.1043701171875,18.8187255859375
amp100_freq5,38,50,1533.2044677734375,1524.23046875,1543.3272705078125,1511.7342529296875,19.0968017578125
amp100_freq5,39,50,1522.8031005859375,1512.708251953125,1532.7996826171875,1502.9576416015625,20.0914306640625
amp100_freq5,40,50,1533.69287109375,1520.9351806640625,1543.7059326171875,1516.386474609375,22.770751953125
amp100_freq5,41,50,1560.668212890625,1543.6395263671875,1570.5028076171875,1548.222412109375,26.86328125
amp100_freq5,42,50,1612.641357421875,1588.2027587890625,1622.642822265625,1607.0848388671875,34.4400634765625
amp100_freq5,43,50,1643.2476806640625,1611.3780517578125,1652.6163330078125,1647.021240234375,41.23828125
amp100_freq5,44,50,1506.7152099609375,1469.0848388671875,1516.2120361328125,1515.8226318359375,47.127197265625
amp100_freq5,45,50,1232.675537109375,1201.916015625,1239.957763671875,1241.5640869140625,38.041748046875
amp100_freq5,46,50,951.6026000976562,932.637939453125,955.7981567382812,957.9732666015625,23.16021728515625
amp100_freq5,47,50,763.4671020507812,752.67578125,765.6123657226562,767.8305053710938,12.93658447265625
amp100_freq5,48,50,634.4476928710938,608.2132568359375,637.3740234375,651.90869140625,29.1607666015625
amp100_freq5,49,50,563.9805297851562,540.9100952148438,566.246826171875,580.2344970703125,25.33673095703125
amp100_freq5,50,50,504.7637023925781,486.0106201171875,506.3616943359375,518.7124633789062,20.35107421875
amp100_freq5,51,50,479.18939208984375,462.1444396972656,480.65045166015625,491.8437805175781,18.506011962890625
amp100_freq5,52,50,467.03338623046875,452.12298583984375,468.4320068359375,477.7490539550781,16.30902099609375
amp100_freq5,53,50,467.2264099121094,453.6777648925781,468.79193115234375,476.07244873046875,15.114166259765625
amp100_freq5,54,50,482.5983581542969,470.2458190917969,484.5625305175781,489.05029296875,14.31671142578125
amp100_freq5,55,50,514.6220703125,503.6596374511719,516.8442993164062,518.9058837890625,13.184661865234375
amp100_freq5,56,50,564.1663208007812,553.2500610351562,567.0332641601562,566.4664306640625,13.783203125
amp100_freq5,57,50,628.8934936523438,618.1915893554688,632.1041870117188,629.9408569335938,13.91259765625
amp100_freq5,58,50,700.7431030273438,690.2467651367188,704.23486328125,700.7498168945312,13.98809814453125
amp100_freq5,59,50,812.2275390625,800.45166015625,816.4904174804688,811.2098999023438,16.03875732421875
amp100_freq5,60,50,958.5983276367188,944.189453125,964.213134765625,956.1594848632812,20.023681640625
amp100_freq5,61,50,1135.099853515625,1116.4117431640625,1141.633544921875,1134.177001953125,25.2218017578125
amp100_freq5,62,50,1491.985595703125,1462.169189453125,1501.771484375,1492.384765625,39.602294921875
amp100_freq5,63,50,1493.5960693359375,1462.1614990234375,1504.174072265625,1493.32177734375,42.0125732421875
amp100_freq5,64,50,1488.54931640625,1459.4715576171875,1498.067138671875,1489.0615234375,38.5955810546875
amp100_freq5,65,50,1687.99072265625,1660.67578125,1697.7327880859375,1686.037109375,37.0570068359375
amp100_freq5,66,50,1808.0906982421875,1785.3824462890625,1817.43701171875,1802.73291015625,32.0545654296875
amp100_freq5,67,50,1823.13427734375,1807.6494140625,1832.1759033203125,1811.4608154296875,24.5264892578125
amp100_freq5,68,50,870.7169189453125,849.9989624023438,877.9121704101562,869.8418579101562,27.9132080078125
amp100_freq5,69,50,584.6854858398438,568.244140625,591.7241821289062,580.0115966796875,23.48004150390625
amp100_freq5,70,50,551.4456787109375,540.6959838867188,556.9645385742188,545.6434936523438,16.2685546875
amp100_freq5,71,50,758.4951782226562,742.3099975585938,766.0824584960938,751.9152221679688,23.7724609375
