trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1981,amp180_freq10,180,10,14666.780025,55.746072009827664
1982,amp180_freq50,180,50,14672.780025,57.06074570793109
1983,amp100_freq5,100,5,14678.780025,57.789575366156946
1984,amp100_freq50,100,50,14684.780025,89.63826641337369
1985,amp250_freq50,250,50,14690.780025,57.92602089668269
1986,amp100_freq50,100,50,14696.780025,57.27251118790839
1987,amp250_freq26,250,26,14702.780025,56.71598567081833
1988,amp250_freq26,250,26,14708.780025,55.58785221263826
1989,amp180_freq50,180,50,14714.780025,56.16090782205942
1990,amp180_freq5,180,5,14720.780025,52.247759067428746
1991,amp180_freq5,180,5,14726.780025,50.3067580769034
1992,amp180_freq10,180,10,14732.780025,56.6753451151395
1993,amp180_freq50,180,50,14738.780025,71.72375021901107
1994,amp100_freq10,100,10,14744.780025,52.63273254689881
1995,amp250_freq5,250,5,14750.780025,49.631369063034
1996,amp100_freq10,100,10,14756.780025,50.702819264357025
1997,amp100_freq5,100,5,14762.780025,54.166783576928836
1998,amp100_freq50,100,50,14768.780025,51.28420651434999
1999,amp100_freq10,100,10,14774.780025,65.42814783999204
2000,amp100_freq26,100,26,14780.780025,52.10701463542243
2001,amp180_freq26,180,26,14786.780025,67.1763444689305
2002,amp180_freq5,180,5,14792.780025,51.34178098081173
2003,amp180_freq50,180,50,14798.780025,52.682231363081264
2004,amp100_freq50,100,50,14804.780025,55.15350081493645
2005,amp180_freq10,180,10,14810.780025,50.202020430228835
2006,amp180_freq5,180,5,14816.780025,110.103512376791
2007,amp100_freq26,100,26,14822.780025,52.483888916084474
2008,amp100_freq5,100,5,14828.780025,45.60725608035879
2009,amp250_freq5,250,5,14834.780025,65.31182175471386
2010,amp100_freq26,100,26,14840.780025,49.25730685932285
2011,amp180_freq10,180,10,14846.780025,50.33211470096168
2012,amp250_freq5,250,5,14852.780025,49.53699327292881
2013,amp250_freq5,250,5,14858.780025,49.71840633087473
2014,amp180_freq5,180,5,14864.780025,48.288156232310556
2015,amp180_freq10,180,10,14870.780025,51.72876139921856
2016,amp180_freq50,180,50,14876.780025,57.38623645667483
2017,amp250_freq26,250,26,14882.780025,64.12252990822059
2018,amp250_freq26,250,26,14888.780025,51.85623651894132
2019,amp250_freq5,250,5,14894.780025,50.725433925522275
2020,amp250_freq26,250,26,14900.780025,51.51987193963238
2021,amp180_freq26,180,26,14906.780025,54.2719829859604
2022,amp100_freq10,100,10,14912.780025,49.8112552305567
2023,amp100_freq5,100,5,14918.780025,47.49903281480537
2024,amp180_freq50,180,50,14924.780025,55.830165184137634
2025,amp250_freq10,250,10,14930.780025,54.03747001102634
2026,amp100_freq50,100,50,14936.780025,52.48721689378149
2027,amp180_freq26,180,26,14942.780025,53.52898608629802
2028,amp100_freq10,100,10,14948.780025,52.098538135617005
2029,amp180_freq50,180,50,14954.780025,53.21499276505818
2030,amp100_freq50,100,50,14960.780025,50.23763988302825
2031,amp250_freq50,250,50,14966.780025,54.11496007533175
2032,amp180_freq10,180,10,14972.780025,55.76731958688656
2033,amp180_freq5,180,5,14978.780025,52.27499801891928
2034,amp100_freq10,100,10,14984.780025,49.00025297643786
2035,amp100_freq26,100,26,14990.780025,52.02869707788654
2036,amp100_freq5,100,5,14996.780025,55.708861899018984
2037,amp100_freq50,100,50,15002.780025,78.3556830773116
2038,amp100_freq50,100,50,15008.780025,49.84481450332236
2039,amp250_freq50,250,50,15014.780025,50.56421405030736
2040,amp180_freq10,180,10,15020.780025,55.77984919662278
2041,amp180_freq5,180,5,15026.780025,52.57442156265692
2042,amp100_freq50,100,50,15032.780025,55.6805367593265
2043,amp100_freq10,100,10,15038.780025,52.17136730227609
2044,amp250_freq5,250,5,15044.780025,51.79131387091871
2045,amp100_freq10,100,10,15050.780025,49.94519577380249
2046,amp250_freq10,250,10,15056.780025,53.18267138964835
2047,amp100_freq26,100,26,15062.780025,52.66894621368122
2048,amp100_freq26,100,26,15068.780025,79.41291038640905
2049,amp180_freq50,180,50,15074.780025,57.03238576563948
2050,amp250_freq26,250,26,15080.780025,50.778549513777456
2051,amp180_freq50,180,50,15086.780025,49.4328848850239
2052,amp180_freq10,180,10,15092.780025,75.04344009963893
2053,amp100_freq5,100,5,15098.780025,129.6434357750566
2054,amp250_freq26,250,26,15104.780025,47.53640431325904
2055,amp100_freq10,100,10,15110.780025,49.480535687356515
2056,amp180_freq10,180,10,15116.780025,79.18594385730489
2057,amp100_freq10,100,10,15122.780025,99.44599877326561
2058,amp100_freq26,100,26,15128.780025,53.521323248892564
2059,amp100_freq50,100,50,15134.780025,56.83295342330676
2060,amp250_freq5,250,5,15140.780025,67.08900608972546
2061,amp100_freq26,100,26,15146.780025,115.96238185343876
2062,amp100_freq5,100,5,15152.780025,46.09707580148843
2063,amp100_freq10,100,10,15158.780025,107.57622545522126
2064,amp180_freq10,180,10,15164.780025,48.72882344306711
2065,amp180_freq5,180,5,15170.780025,53.39420671808624
2066,amp100_freq26,100,26,15176.780025,59.67082661902625
2067,amp180_freq26,180,26,15182.780025,59.050882352273526
2068,amp100_freq50,100,50,15188.780025,49.35478088509155
