trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
212,amp180_freq26,7,11.10000000016953,2164.049999999861,2152.9499999996915,True
213,amp100_freq5,2,1502.7500000001055,2307.749999999942,804.9999999998363,True
214,amp250_freq26,14,154.95000000009895,2420.2500000001237,2265.3000000000247,True
215,amp250_freq5,3,20.9500000000844,1418.8500000000204,1397.899999999936,True
216,amp180_freq26,10,177.14999999998327,1946.3000000000648,1769.1500000000815,True
217,amp250_freq26,12,21.299999999882857,2217.950000000201,2196.650000000318,True
218,amp100_freq5,3,751.6000000000531,1157.2500000002037,405.6500000001506,True
219,amp250_freq5,1,539.600000000064,539.600000000064,0.0,True
220,amp250_freq5,0,,,,False
221,amp250_freq26,13,46.94999999992433,2508.8000000000648,2461.8500000001404,True
222,amp100_freq5,1,680.5500000000393,680.5500000000393,0.0,True
223,amp180_freq5,2,97.24999999980355,1491.950000000088,1394.7000000002845,True
224,amp100_freq26,9,303.3500000001368,2481.249999999818,2177.8999999996813,True
225,amp180_freq5,2,1270.7500000001346,1417.399999999816,146.6499999996813,True
226,amp250_freq5,3,66.55000000000655,1395.7500000001346,1329.200000000128,True
227,amp180_freq26,9,647.0500000000357,2347.6000000000568,1700.550000000021,True
228,amp100_freq5,2,793.9000000001215,2394.549999999981,1600.6499999998596,True
229,amp250_freq26,16,285.4499999998552,2475.8499999998094,2190.399999999954,True
230,amp180_freq5,4,788.0000000000109,1536.8499999999585,748.8499999999476,True
231,amp180_freq5,4,1134.5000000001164,1736.699999999928,602.1999999998116,True
232,amp100_freq5,1,722.8000000000065,722.8000000000065,0.0,True
233,amp250_freq26,15,3.250000000207365,2309.099999999944,2305.8499999997366,True
234,amp100_freq5,2,1245.300000000043,2106.4500000002226,861.1500000001797,True
235,amp180_freq26,4,530.9000000002015,2069.19999999991,1538.2999999997082,True
236,amp180_freq5,2,190.99999999980355,1588.8500000000931,1397.8500000002896,True
237,amp180_freq26,6,556.250000000091,2250.500000000102,1694.250000000011,True
238,amp250_freq5,2,494.0000000001419,693.6999999998079,199.69999999966603,True
239,amp100_freq26,3,7.399999999961437,2007.5000000001637,2000.1000000002023,True
240,amp100_freq5,1,831.3499999999294,831.3499999999294,0.0,True
241,amp100_freq26,4,834.6000000001368,2372.899999999845,1538.2999999997082,True
242,amp250_freq26,10,332.4499999998807,2217.0500000001994,1884.6000000003187,True
243,amp250_freq26,8,289.9499999998625,2059.150000000045,1769.2000000001826,True
244,amp250_freq5,2,311.99999999989814,2312.0499999999993,2000.0500000001011,True
245,amp180_freq26,5,752.100000000155,2290.350000000217,1538.2500000000618,True
246,amp100_freq26,11,212.50000000009095,2390.400000000227,2177.900000000136,True
247,amp100_freq26,6,172.099999999773,1866.349999999784,1694.250000000011,True
248,amp100_freq26,3,362.5999999999294,1442.199999999957,1079.6000000000276,True
249,amp180_freq5,1,1493.3500000001914,1493.3500000001914,0.0,True
250,amp180_freq26,8,14.549999999871943,2476.4000000000124,2461.8500000001404,True
251,amp250_freq26,7,205.05000000002838,2436.000000000149,2230.950000000121,True
252,amp100_freq26,2,741.8999999999869,2280.1500000000487,1538.2500000000618,True
253,amp100_freq26,2,701.5000000001237,1625.1000000002023,923.6000000000786,True
254,amp100_freq5,0,,,,False
255,amp180_freq5,2,1447.5499999998647,2049.750000000131,602.2000000002663,True
256,amp100_freq26,3,545.9999999998217,2084.2499999998836,1538.2500000000618,True
257,amp100_freq5,2,1285.649999999805,2424.550000000181,1138.9000000003762,True
258,amp180_freq5,1,1235.9000000001288,1235.9000000001288,0.0,True
259,amp180_freq5,7,41.049999999813735,1838.2999999998901,1797.2500000000764,True
260,amp180_freq5,4,38.100000000213186,2228.5000000001673,2190.399999999954,True
261,amp100_freq26,5,225.5000000000109,2225.550000000112,2000.0500000001011,True
262,amp100_freq5,3,753.0000000001564,1710.9000000000378,957.8999999998814,True
263,amp250_freq5,9,13.649999999870488,2013.6999999999716,2000.0500000001011,True
264,amp100_freq5,4,16.95000000017899,2419.499999999971,2402.549999999792,True
265,amp250_freq5,7,14.000000000123691,2213.749999999891,2199.749999999767,True
266,amp180_freq26,13,341.80000000014843,2404.2500000000473,2062.449999999899,True
267,amp100_freq5,6,682.0499999998901,2523.0000000001382,1840.950000000248,True
268,amp250_freq5,4,470.04999999990105,1471.6499999999542,1001.6000000000531,True
269,amp250_freq26,29,8.449999999811553,2504.6000000002095,2496.150000000398,True
270,amp250_freq5,4,395.5000000000837,2395.550000000185,2000.0500000001011,True
271,amp100_freq5,3,1213.2000000001426,2071.2499999999636,858.049999999821,True
272,amp250_freq26,28,33.89999999990323,2495.7500000000437,2461.8500000001404,True
273,amp100_freq26,10,71.50000000001455,2227.600000000166,2156.1000000001513,True
274,amp250_freq26,34,65.4500000000553,2418.0999999998676,2352.6499999998123,True
275,amp180_freq26,14,147.80000000018845,2300.74999999988,2152.9499999996915,True
276,amp100_freq5,9,66.85000000015862,2469.3999999999505,2402.549999999792,True
277,amp250_freq5,6,98.19999999990614,2297.950000000128,2199.750000000222,True
278,amp250_freq5,9,95.24999999985084,2298.0999999999767,2202.850000000126,True
279,amp180_freq26,9,14.299999999821011,2398.149999999987,2383.850000000166,True
280,amp100_freq26,9,245.35000000014406,2089.3999999998414,1844.0499999996973,True
281,amp180_freq5,3,236.15000000017972,2236.2499999999272,2000.0999999997475,True
282,amp180_freq26,11,49.14999999982683,2432.9999999999927,2383.850000000166,True
283,amp250_freq26,21,11.849999999867578,2520.5000000000837,2508.650000000216,True
284,amp250_freq26,22,2.6499999999032298,2470.7499999999527,2468.1000000000495,True
285,amp250_freq26,18,505.20000000005894,2505.25000000016,2000.0500000001011,True
286,amp180_freq5,5,190.20000000000437,2193.4000000001106,2003.2000000001062,True
287,amp100_freq26,3,580.3999999998268,2118.69999999999,1538.300000000163,True
288,amp250_freq26,25,3.349999999954889,2462.1000000001914,2458.7500000002365,True
289,amp100_freq26,6,540.1999999999134,1769.549999999981,1229.3500000000677,True
290,amp100_freq5,7,106.65000000017244,2499.8500000001513,2393.199999999979,True
291,amp100_freq5,4,343.9499999999498,2403.2999999999447,2059.349999999995,True
